帧号,左膝角度,右膝角度,左髋角度,右髋角度
0,135.10962332094414,160.00158409057912,140.64513023328502,174.3522697786065
8,167.50587409330464,126.21899111885853,156.30354383283307,174.10255041739157
16,159.17105339184164,81.4521504253017,161.2015255467176,168.20718737098628
24,154.17089282300464,83.10263889700852,162.2362605457436,139.7273052094083
32,165.7959982268186,117.07087493005304,178.82107607467952,118.16606606829953
40,143.65458648873775,171.4239874990066,171.93364081029225,144.15133802309225
